delivery_id,delivery_partner,delivery_mode,region,weather_condition,vehicle_type,distance_km,original_severity,simulated_severity,simulate_delay_reason
3775.0,dhl,express,east,stormy,truck,247.7,Long (6+h),Long (6+h),"Stormy weather in the east keeps this already high-risk long-distance express truck delivery at severe delay levels, so the delay remains Long (6+h)."
8841.0,ekart,express,east,stormy,van,250.3,Long (6+h),Medium (3-5h),"Stormy east-region conditions still imply major disruption for this long express van route, but the simulated pattern shifts it from Long (6+h) to Medium (3-5h)."
23052.0,amazon logistics,same day,east,stormy,scooter,165.4,Short (1-2h),Long (6+h),"Stormy weather sharply worsens this east-region same day scooter delivery, where time sensitivity and two-wheeler exposure increase the chance of escalation from Short (1-2h) to Long (6+h)."
23679.0,xpressbees,express,east,stormy,van,275.8,Long (6+h),Medium (3-5h),"Under stormy east-region conditions, this very long express van trip remains heavily delayed, though the simulated severity moderates from Long (6+h) to Medium (3-5h)."
7826.0,amazon logistics,express,east,stormy,scooter,175.5,Short (1-2h),Medium (3-5h),"Stormy weather raises travel friction for this east-region express scooter delivery, pushing the expected delay from Short (1-2h) to Medium (3-5h)."
2431.0,blue dart,express,east,stormy,truck,130.3,Short (1-2h),Short (1-2h),"Although stormy weather adds disruption in the east, this express truck route appears comparatively resilient, so the simulated delay stays at Short (1-2h)."
12927.0,xpressbees,express,east,stormy,scooter,69.6,Medium (3-5h),Medium (3-5h),"Stormy east-region conditions sustain moderate disruption for this express scooter delivery, keeping the delay at Medium (3-5h)."
2517.0,xpressbees,express,east,stormy,ev van,173.0,Short (1-2h),Medium (3-5h),"Stormy weather in the east increases route and handling delays for this express ev van shipment, lifting severity from Short (1-2h) to Medium (3-5h)."
3589.0,shadowfax,express,east,stormy,scooter,259.5,Short (1-2h),Long (6+h),"This long-distance express scooter delivery becomes much more vulnerable in stormy east-region conditions, causing a jump from Short (1-2h) to Long (6+h)."
5001.0,blue dart,express,east,stormy,truck,194.7,Short (1-2h),Medium (3-5h),"Stormy weather adds congestion and slower movement for this east-region express truck route, increasing expected delay from Short (1-2h) to Medium (3-5h)."
18495.0,ecom express,express,east,stormy,scooter,209.8,Medium (3-5h),Medium (3-5h),"Stormy conditions keep this long express scooter delivery in a moderately delayed state, so the simulated severity remains Medium (3-5h)."
7233.0,dhl,express,east,stormy,ev van,206.4,Short (1-2h),Medium (3-5h),"In the east region, stormy weather increases transit uncertainty for this express ev van order, moving it from Short (1-2h) to Medium (3-5h)."
9973.0,shadowfax,same day,east,stormy,ev bike,263.2,Short (1-2h),Medium (3-5h),"Stormy weather undermines this long same day east-region ev bike delivery, worsening the delay from Short (1-2h) to Medium (3-5h)."
5788.0,shadowfax,express,east,stormy,ev bike,44.8,Short (1-2h),Medium (3-5h),"Even on a shorter route, stormy east-region conditions can slow an express ev bike delivery enough to raise severity from Short (1-2h) to Medium (3-5h)."
7491.0,blue dart,express,east,stormy,truck,168.1,Short (1-2h),Long (6+h),"Stormy weather creates substantial disruption for this east-region express truck shipment, escalating the delay from Short (1-2h) to Long (6+h)."
22760.0,ekart,express,east,stormy,ev van,276.6,Medium (3-5h),Medium (3-5h),"This very long express ev van route remains moderately delayed under stormy east-region conditions, so severity stays Medium (3-5h)."
9301.0,blue dart,express,east,stormy,van,185.2,Short (1-2h),Long (6+h),"Stormy weather in the east significantly worsens this express van delivery, pushing the expected delay from Short (1-2h) to Long (6+h)."
16502.0,dhl,express,east,stormy,truck,272.1,Medium (3-5h),Long (6+h),The combination of stormy weather and a very long express truck route in the east raises this order from Medium (3-5h) to Long (6+h).
9874.0,dhl,express,east,stormy,truck,219.4,Short (1-2h),Medium (3-5h),"Stormy east-region conditions increase travel and unloading delays for this express truck order, shifting it from Short (1-2h) to Medium (3-5h)."
2520.0,ecom express,express,east,stormy,truck,226.4,Long (6+h),Medium (3-5h),"This long express truck delivery remains materially affected by stormy east-region conditions, though the simulated severity improves from Long (6+h) to Medium (3-5h)."
14434.0,xpressbees,express,east,stormy,ev bike,160.6,Short (1-2h),Medium (3-5h),"Stormy weather makes this east-region express ev bike route more delay-prone, increasing severity from Short (1-2h) to Medium (3-5h)."
9099.0,fedex,express,east,stormy,van,188.0,Short (1-2h),Medium (3-5h),Stormy conditions in the east add enough disruption to this express van delivery to move it from Short (1-2h) to Medium (3-5h).
11750.0,blue dart,same day,east,stormy,ev bike,149.6,Medium (3-5h),Medium (3-5h),"This same day ev bike order remains moderately delayed under stormy east-region conditions, with severity staying at Medium (3-5h)."
22414.0,fedex,express,east,stormy,ev bike,70.9,Medium (3-5h),Long (6+h),"Stormy weather can disproportionately affect lighter two-wheeler express deliveries in the east, worsening this order from Medium (3-5h) to Long (6+h)."
9730.0,shadowfax,same day,east,stormy,ev van,297.1,Medium (3-5h),Long (6+h),"A very long same day route under stormy east-region conditions creates severe timing pressure, escalating this order from Medium (3-5h) to Long (6+h)."
24028.0,delhivery,express,east,stormy,ev bike,170.4,Medium (3-5h),Medium (3-5h),"Stormy weather sustains moderate disruption for this east-region express ev bike delivery, so the delay remains Medium (3-5h)."
6364.0,ekart,express,east,stormy,bike,180.1,Medium (3-5h),Medium (3-5h),"This express bike delivery is already vulnerable in stormy east-region conditions, and the simulated severity stays at Medium (3-5h)."
14805.0,blue dart,express,east,stormy,scooter,219.9,Medium (3-5h),Long (6+h),"Stormy weather combined with a long express scooter route in the east increases the risk of major disruption, pushing this order from Medium (3-5h) to Long (6+h)."
20557.0,dhl,express,east,stormy,ev van,279.4,Short (1-2h),Medium (3-5h),"Despite starting at a short delay, this very long express ev van route becomes more exposed under stormy east-region conditions, rising to Medium (3-5h)."
13365.0,fedex,express,east,stormy,bike,260.2,Medium (3-5h),Long (6+h),"Stormy weather strongly impacts this long-distance express bike delivery in the east, escalating it from Medium (3-5h) to Long (6+h)."
13160.0,ecom express,express,east,stormy,bike,291.1,Medium (3-5h),Short (1-2h),"Although stormy east-region conditions are adverse, the simulated historical pattern for this route combination reduces the expected delay from Medium (3-5h) to Short (1-2h)."
19073.0,fedex,same day,east,stormy,bike,220.2,Short (1-2h),Medium (3-5h),Stormy weather adds enough disruption to this long same day bike delivery in the east to increase severity from Short (1-2h) to Medium (3-5h).
23679.0,xpressbees,express,east,stormy,van,275.8,Long (6+h),Medium (3-5h),"Under stormy east-region conditions, this very long express van trip remains heavily delayed, though the simulated severity moderates from Long (6+h) to Medium (3-5h)."
19515.0,delhivery,express,east,stormy,van,4.7,Short (1-2h),Medium (3-5h),"Even with a short distance, stormy east-region conditions can create pickup, routing, or local congestion issues that raise this express van order from Short (1-2h) to Medium (3-5h)."
6895.0,xpressbees,express,east,stormy,ev bike,221.5,Short (1-2h),Long (6+h),"Stormy weather severely affects this long express ev bike route in the east, causing a sharp increase from Short (1-2h) to Long (6+h)."
1949.0,delhivery,express,east,stormy,ev bike,31.3,Short (1-2h),Long (6+h),"Stormy conditions can heavily disrupt lightweight urban express deliveries, and this east-region ev bike order escalates from Short (1-2h) to Long (6+h)."
5420.0,shadowfax,express,east,stormy,ev bike,235.5,Long (6+h),Long (6+h),"This long express ev bike delivery is already highly delay-prone, and stormy east-region conditions keep it at Long (6+h)."
3810.0,shadowfax,express,east,stormy,bike,42.1,Long (6+h),Medium (3-5h),"Stormy weather still implies meaningful disruption for this east-region express bike order, but the simulated severity improves from Long (6+h) to Medium (3-5h)."
15695.0,ecom express,express,east,stormy,truck,197.1,Short (1-2h),Medium (3-5h),"Stormy east-region conditions increase transit friction for this express truck delivery, moving it from Short (1-2h) to Medium (3-5h)."
24678.0,xpressbees,express,east,stormy,truck,196.2,Short (1-2h),Long (6+h),"Stormy weather materially worsens this east-region express truck route, escalating the expected delay from Short (1-2h) to Long (6+h)."
20842.0,blue dart,express,east,stormy,ev bike,264.6,Short (1-2h),Long (6+h),
11312.0,blue dart,express,east,stormy,ev van,75.7,Long (6+h),Medium (3-5h),
9789.0,xpressbees,express,east,stormy,scooter,244.9,Medium (3-5h),Medium (3-5h),
12422.0,delhivery,express,east,stormy,ev van,144.2,Short (1-2h),Long (6+h),
19362.0,shadowfax,express,east,stormy,bike,213.9,Short (1-2h),Long (6+h),
24028.0,delhivery,express,east,stormy,ev bike,170.4,Medium (3-5h),Medium (3-5h),"Stormy weather sustains moderate disruption for this east-region express ev bike delivery, so the delay remains Medium (3-5h)."
1898.0,amazon logistics,express,east,stormy,bike,226.3,Long (6+h),Medium (3-5h),
19095.0,ecom express,express,east,stormy,bike,16.0,Medium (3-5h),Medium (3-5h),
3465.0,dhl,express,east,stormy,bike,210.7,Medium (3-5h),Medium (3-5h),
12871.0,shadowfax,same day,east,stormy,truck,237.3,Medium (3-5h),Long (6+h),
4605.0,blue dart,same day,east,stormy,truck,297.1,Short (1-2h),Long (6+h),
1005.0,blue dart,express,east,stormy,scooter,290.7,Short (1-2h),Medium (3-5h),
24750.01,delhivery,same day,east,stormy,bike,259.1,Short (1-2h),Medium (3-5h),
18620.0,shadowfax,express,east,stormy,bike,286.2,Medium (3-5h),Medium (3-5h),
9796.0,fedex,same day,east,stormy,ev bike,150.1,Short (1-2h),Short (1-2h),
19228.0,ekart,express,east,stormy,scooter,238.0,Short (1-2h),Medium (3-5h),
23198.0,xpressbees,express,east,stormy,van,73.5,Short (1-2h),Long (6+h),
20738.0,fedex,express,east,stormy,van,138.8,Short (1-2h),Long (6+h),
13484.0,dhl,same day,east,stormy,ev van,113.7,Short (1-2h),Long (6+h),
8524.0,amazon logistics,express,east,stormy,ev bike,223.2,Short (1-2h),Medium (3-5h),
6321.0,xpressbees,express,east,stormy,bike,107.8,Medium (3-5h),Medium (3-5h),
10147.0,ecom express,express,east,stormy,scooter,184.6,Medium (3-5h),Medium (3-5h),
8303.0,fedex,same day,east,stormy,van,144.9,Short (1-2h),Medium (3-5h),
4911.0,ecom express,express,east,stormy,van,82.1,Medium (3-5h),Long (6+h),
17102.0,shadowfax,express,east,stormy,truck,213.9,Short (1-2h),Medium (3-5h),
11187.0,shadowfax,same day,east,stormy,ev bike,161.8,Medium (3-5h),Short (1-2h),
12388.0,fedex,express,east,stormy,ev van,241.7,Short (1-2h),Medium (3-5h),
2228.0,ecom express,express,east,stormy,ev bike,58.6,Medium (3-5h),Medium (3-5h),
21135.0,xpressbees,express,east,stormy,bike,133.4,Medium (3-5h),Medium (3-5h),
15950.0,amazon logistics,express,east,stormy,scooter,82.1,Medium (3-5h),Long (6+h),
23838.0,ecom express,same day,east,stormy,ev bike,225.8,Short (1-2h),Short (1-2h),
10021.0,blue dart,express,east,stormy,truck,69.4,Medium (3-5h),Medium (3-5h),
9293.0,xpressbees,express,east,stormy,van,49.0,Short (1-2h),Medium (3-5h),
3144.0,shadowfax,express,east,stormy,bike,270.9,Medium (3-5h),Medium (3-5h),
1156.0,shadowfax,express,east,stormy,truck,12.8,Medium (3-5h),Medium (3-5h),
15695.0,ecom express,express,east,stormy,truck,197.1,Short (1-2h),Long (6+h),"Stormy east-region conditions increase transit friction for this express truck delivery, moving it from Short (1-2h) to Medium (3-5h)."
22983.0,xpressbees,express,east,stormy,ev bike,140.1,Medium (3-5h),Long (6+h),
16920.0,fedex,same day,east,stormy,ev van,215.9,Medium (3-5h),Medium (3-5h),
587.0,xpressbees,express,east,stormy,ev bike,190.9,Medium (3-5h),Long (6+h),
22151.0,dhl,same day,east,stormy,bike,185.2,Short (1-2h),Medium (3-5h),
10593.0,ekart,express,east,stormy,ev van,221.8,Short (1-2h),Medium (3-5h),
