delivery_id,delivery_partner,delivery_mode,region,weather_condition,vehicle_type,distance_km,original_severity,simulated_severity,simulate_delay_reason
3775.0,dhl,express,east,stormy,truck,247.7,Long (6+h),Long (6+h),Stormy weather in east on a long-distance express truck route keeps this order in the highest delay band because severe weather likely continues to slow line-haul movement and handling.
8841.0,ekart,express,east,stormy,van,250.3,Long (6+h),Medium (3-5h),"Although stormy weather still raises delay risk, the simulation shifts this long-distance express van order down to Medium (3-5h), suggesting historical east-region stormy cases for similar conditions more often land in the medium band."
23052.0,amazon logistics,same day,east,stormy,scooter,165.4,Short (1-2h),Long (6+h),"Stormy weather sharply worsens this east same-day scooter delivery, where exposure to rain and road disruption can heavily impact two-wheeler speed and same-day SLA performance, pushing it to Long (6+h)."
23679.0,xpressbees,express,east,stormy,van,275.8,Long (6+h),Medium (3-5h),"Under stormy east-region conditions this very long express van shipment remains significantly delayed, but the simulated pattern suggests similar historical cases more commonly fall into Medium (3-5h) than Long (6+h)."
7826.0,amazon logistics,express,east,stormy,scooter,175.5,Short (1-2h),Medium (3-5h),"Stormy weather likely slows this east express scooter delivery through reduced road speed and rider exposure, increasing the delay from Short (1-2h) to Medium (3-5h)."
2431.0,blue dart,express,east,stormy,truck,130.3,Short (1-2h),Short (1-2h),"Even after switching to stormy weather, this east express truck order stays in Short (1-2h), indicating the route and vehicle type appear relatively resilient despite some weather-related slowdown."
12927.0,xpressbees,express,east,stormy,scooter,69.6,Medium (3-5h),Medium (3-5h),"Stormy weather keeps this east express scooter order in Medium (3-5h), consistent with moderate disruption for two-wheelers even on a shorter route."
2517.0,xpressbees,express,east,stormy,ev van,173.0,Short (1-2h),Medium (3-5h),"Stormy conditions in the east likely add travel and handling friction for this express ev van shipment, worsening the delay from Short (1-2h) to Medium (3-5h)."
3589.0,shadowfax,express,east,stormy,scooter,259.5,Short (1-2h),Long (6+h),"This long-distance east express scooter delivery is highly vulnerable to stormy weather, with two-wheeler limitations and route length combining to escalate the delay to Long (6+h)."
5001.0,blue dart,express,east,stormy,truck,194.7,Short (1-2h),Medium (3-5h),"Stormy weather likely causes slower road movement and operational bottlenecks for this east express truck order, increasing severity to Medium (3-5h)."
18495.0,ecom express,express,east,stormy,scooter,209.8,Medium (3-5h),Medium (3-5h),"This east express scooter shipment remains at Medium (3-5h) under stormy weather, reflecting sustained but not extreme disruption for a longer two-wheeler route."
7233.0,dhl,express,east,stormy,ev van,206.4,Short (1-2h),Medium (3-5h),Stormy east-region conditions likely slow this express ev van movement enough to push the delay from Short (1-2h) into Medium (3-5h).
9973.0,shadowfax,same day,east,stormy,ev bike,263.2,Short (1-2h),Medium (3-5h),"A long-distance same-day east delivery on an ev bike becomes more delay-prone in stormy weather, with tighter SLA pressure and two-wheeler exposure raising severity to Medium (3-5h)."
5788.0,shadowfax,express,east,stormy,ev bike,44.8,Short (1-2h),Medium (3-5h),"Even on a shorter route, stormy weather can reduce ev bike reliability and speed in the east, increasing this express order to Medium (3-5h)."
7491.0,blue dart,express,east,stormy,truck,168.1,Short (1-2h),Long (6+h),"Stormy weather appears to create severe disruption for this east express truck shipment, likely through traffic, loading, or route delays that push it into Long (6+h)."
